,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2,Jontay Porter,PF,39,6,14.0,0.0,0.0,1.0,1.0,17.0,2.0,5.0,1.0,2.0,0.0,13.0
3,Steve Mitchell,PG,26,2,8.0,0.0,1.0,3.0,4.0,2.0,9.0,4.0,0.0,0.0,0.0,7.0
4,Chimp Godbolt,SG,36,3,9.0,0.0,2.0,0.0,0.0,4.0,2.0,4.0,1.0,2.0,0.0,6.0
5,Brian Bowen,PF,14,2,4.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,4.0
6,Radoslav Nesterovic,C,18,0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0
7,Ronald Savage,SG,12,0,3.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0
8,TEAM TOTALS,,,32,68.0,2.0,8.0,5.0,7.0,39.0,21.0,27.0,3.0,12.0,1.0,86.0
9,PERCENTAGES,FG: 47.1%,3PT: 25.0%,FT: 71.4%,,,,,,,,,,,,
0,Brain Winter,PG,43,8,26.0,1.0,2.0,4.0,4.0,4.0,7.0,4.0,2.0,0.0,0.0,21.0
1,Jim Pollard,SG,31,5,15.0,0.0,1.0,5.0,6.0,12.0,4.0,2.0,1.0,2.0,0.0,15.0
2,Panagiotis Fasoulas,PF,31,6,10.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,0.0,4.0,1.0,14.0
3,Donte Grantham,SF,25,4,8.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
4,Marcquise Reed,SG,21,2,5.0,0.0,1.0,2.0,3.0,1.0,2.0,2.0,0.0,2.0,0.0,6.0
5,Buck Johnson,SF,23,1,3.0,0.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,5.0
6,Sean Marks,C,36,1,9.0,0.0,0.0,2.0,4.0,5.0,1.0,4.0,0.0,1.0,0.0,4.0
7,Marques Bolden,PF,26,1,4.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,1.0,1.0,2.0,2.0
8,Harry Gallatin,C,3,0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
9,TEAM TOTALS,,,28,83.0,3.0,7.0,21.0,26.0,40.0,17.0,17.0,5.0,10.0,3.0,80.0
0,Benji Hammon,PG,32,17,22.0,7.0,8.0,2.0,2.0,2.0,12.0,5.0,1.0,4.0,0.0,43.0
1,Deng Adel,SG,28,8,14.0,0.0,2.0,3.0,3.0,5.0,6.0,2.0,0.0,1.0,0.0,19.0
2,Kevin Knox,SF,31,7,13.0,1.0,2.0,1.0,1.0,7.0,3.0,3.0,0.0,1.0,1.0,16.0
3,Mitchell Robinson,PF,26,7,13.0,0.0,0.0,2.0,4.0,6.0,1.0,4.0,0.0,0.0,2.0,16.0
4,Malik Newman,SG,20,3,5.0,0.0,0.0,5.0,6.0,3.0,2.0,0.0,3.0,0.0,0.0,11.0
5,LiAngelo Ball,SF,17,4,9.0,0.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,0.0,0.0,10.0
6,Theo Hilinski,PG,16,4,6.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,9.0
7,Paschal Chukwu,C,29,2,3.0,0.0,0.0,2.0,3.0,10.0,1.0,4.0,1.0,0.0,0.0,6.0
8,Desean Murray,C,27,1,2.0,0.0,0.0,1.0,2.0,13.0,2.0,0.0,0.0,0.0,0.0,3.0
9,Chimezie Metu,PF,14,0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,1.0,0.0
10,TEAM TOTALS,,,53,88.0,9.0,14.0,18.0,23.0,56.0,34.0,21.0,9.0,6.0,4.0,133.0
11,PERCENTAGES,FG: 60.2%,3PT: 64.3%,FT: 78.3%,,,,,,,,,,,,
0,Len Bias,SF,29,7,16.0,0.0,5.0,16.0,17.0,4.0,2.0,4.0,0.0,0.0,1.0,30.0
1,Trendon Watford,PF,32,3,11.0,0.0,0.0,12.0,13.0,10.0,1.0,2.0,1.0,5.0,0.0,18.0
2,Laurence Jackson,PF,26,6,12.0,0.0,0.0,3.0,5.0,13.0,2.0,3.0,3.0,1.0,5.0,15.0
3,Earl Boykins,PG,32,5,11.0,2.0,2.0,2.0,2.0,2.0,9.0,0.0,1.0,3.0,0.0,14.0
4,Michael Jackson,PG,16,4,6.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0
5,Kenny Walker,SG,32,3,12.0,1.0,3.0,1.0,2.0,8.0,3.0,1.0,1.0,2.0,0.0,8.0
6,Michael Dickerson,SG,16,3,8.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,6.0
7,Michael Olowokandi,C,29,1,5.0,0.0,0.0,0.0,0.0,10.0,1.0,3.0,0.0,2.0,3.0,2.0
8,Keon Clark,C,19,1,3.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,3.0,1.0,2.0,2.0
9,Jimmy Graham,SF,9,1,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,2.0,0.0,2.0
10,TEAM TOTALS,,,34,85.0,3.0,12.0,35.0,43.0,63.0,19.0,16.0,9.0,17.0,11.0,106.0
0,Mohamed Bamba,C,36,10,25.0,0.0,2.0,1.0,3.0,19.0,1.0,5.0,2.0,3.0,1.0,21.0
1,Antawn Jamison*,SF,33,9,17.0,1.0,1.0,2.0,3.0,13.0,1.0,6.0,1.0,1.0,0.0,21.0
2,Sam Perkins,PF,34,7,13.0,0.0,2.0,1.0,2.0,10.0,2.0,2.0,0.0,1.0,0.0,15.0
3,Ayo Dosunmu,SG,32,5,13.0,1.0,2.0,1.0,2.0,5.0,4.0,2.0,1.0,2.0,0.0,12.0
4,Sarunas Jasikevicius,PG,31,6,16.0,0.0,3.0,0.0,0.0,2.0,6.0,1.0,2.0,1.0,0.0,12.0
5,Trevon Duval,SG,25,4,11.0,0.0,1.0,3.0,4.0,4.0,5.0,2.0,1.0,0.0,0.0,11.0
6,Austin Wiley,C,19,3,8.0,0.0,0.0,0.0,1.0,5.0,1.0,4.0,1.0,3.0,2.0,6.0
7,Josh Okogie,SF,7,2,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
8,Dazon Ingram,SF,15,1,4.0,1.0,1.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0
9,Rob Gray,PG,7,1,3.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0
10,TEAM TOTALS,,,48,113.0,3.0,12.0,9.0,17.0,63.0,23.0,27.0,8.0,11.0,3.0,108.0
11,PERCENTAGES,FG: 42.5%,3PT: 25.0%,FT: 52.9%,,,,,,,,,,,,
0,Stan Haynes,PF,33,9,15.0,0.0,0.0,10.0,10.0,8.0,5.0,5.0,0.0,1.0,0.0,28.0
1,George Kok,C,31,9,17.0,0.0,0.0,10.0,14.0,7.0,0.0,5.0,1.0,1.0,0.0,28.0
2,Devon Hall,PG,35,8,13.0,3.0,6.0,8.0,9.0,5.0,4.0,1.0,1.0,6.0,1.0,27.0
3,Herb Jones,SF,22,5,8.0,0.0,1.0,1.0,3.0,7.0,1.0,6.0,0.0,0.0,1.0,11.0
4,Quinndary Weatherspoon,PF,25,2,7.0,0.0,0.0,6.0,6.0,8.0,5.0,4.0,0.0,1.0,1.0,10.0
5,Kendall Stephens,SG,36,3,9.0,2.0,4.0,0.0,0.0,8.0,5.0,2.0,1.0,2.0,0.0,8.0
6,Kevaughn Allen,SF,32,2,8.0,0.0,3.0,2.0,2.0,3.0,2.0,3.0,0.0,2.0,0.0,6.0
7,Whitey Von Nieda,C,7,2,5.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0
8,Jaylen Adams,PG,13,1,2.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,3.0,2.0,0.0,2.0
9,Jalek Felton,SG,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,TEAM TOTALS,,,41,84.0,5.0,14.0,38.0,46.0,50.0,26.0,29.0,6.0,15.0,3.0,125.0
0,Elvis Delle Donne,SF,40,13,23.0,0.0,1.0,19.0,22.0,13.0,0.0,2.0,4.0,3.0,0.0,45.0
1,Khyri Thomas,SG,28,5,12.0,1.0,2.0,8.0,12.0,7.0,2.0,3.0,0.0,1.0,0.0,19.0
2,Dillon Chambers,PG,28,7,16.0,1.0,3.0,2.0,2.0,3.0,8.0,5.0,0.0,1.0,0.0,17.0
3,Milt Wagner,SG,20,5,8.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,13.0
4,Chandler Chandler,C,40,3,10.0,1.0,3.0,5.0,8.0,12.0,4.0,4.0,1.0,3.0,0.0,12.0
5,Jordan McLaughlin,PG,20,3,11.0,1.0,4.0,0.0,0.0,3.0,8.0,1.0,0.0,1.0,0.0,7.0
6,George Hauptfuhrer,PF,39,3,5.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,1.0,0.0,0.0,6.0
7,Tryggvi Hlinason,C,8,3,3.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,1.0,0.0,6.0
8,Tanner Cousy,SF,8,1,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0
9,John Egbunu,PF,9,0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0
10,TEAM TOTALS,,,43,92.0,5.0,15.0,37.0,51.0,54.0,23.0,28.0,8.0,10.0,1.0,128.0
11,PERCENTAGES,FG: 46.7%,3PT: 33.3%,FT: 72.5%,,,,,,,,,,,,
0,Jackie Moon,SG,35,13,19.0,4.0,6.0,6.0,7.0,7.0,6.0,1.0,2.0,0.0,0.0,36.0
1,Luke Maye,SF,34,9,16.0,1.0,3.0,7.0,7.0,9.0,5.0,1.0,2.0,1.0,0.0,26.0
2,Shamorie Ponds,PG,35,7,12.0,1.0,3.0,4.0,5.0,4.0,11.0,3.0,2.0,2.0,0.0,19.0
3,Yommy Sangodeyi,C,39,7,13.0,0.0,0.0,4.0,13.0,10.0,3.0,2.0,0.0,2.0,0.0,18.0
4,Athansios Cathasach,SF,14,3,7.0,0.0,1.0,4.0,4.0,6.0,1.0,0.0,3.0,1.0,1.0,10.0
5,Braxton Key,SG,13,3,5.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,8.0
6,Josh Reaves,PG,13,3,6.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,6.0
7,Brandon McCoy,PF,30,2,7.0,0.0,1.0,0.0,0.0,12.0,3.0,1.0,1.0,2.0,0.0,4.0
8,Ed Mikan,PF,22,0,5.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,2.0
9,Joe Fulks,PF,6,0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
10,TEAM TOTALS,,,47,90.0,6.0,14.0,31.0,42.0,57.0,32.0,12.0,11.0,11.0,1.0,131.0
0,Michael Jordan,SG,32,12,29.0,1.0,4.0,2.0,2.0,6.0,3.0,4.0,1.0,1.0,1.0,27.0
1,Kenny George,C,37,7,17.0,0.0,0.0,2.0,2.0,6.0,3.0,3.0,1.0,4.0,1.0,16.0
2,Rafer Alston,PG,32,6,10.0,2.0,3.0,1.0,3.0,6.0,8.0,4.0,1.0,2.0,0.0,15.0
3,Grayson Allen,SG,16,4,7.0,1.0,2.0,4.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,13.0
4,Chris Chiozza,PG,16,5,7.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,0.0,1.0,0.0,13.0
5,Luka Doncic,SF,21,4,9.0,1.0,2.0,0.0,0.0,3.0,3.0,4.0,1.0,2.0,0.0,9.0
6,Tyler Davis,PF,32,2,8.0,0.0,1.0,0.0,0.0,6.0,2.0,4.0,1.0,0.0,2.0,4.0
7,McKinley Singleton,SF,27,2,4.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,1.0,0.0,4.0
8,Paul Wight,C,11,1,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,4.0
9,Cedric Henderson*,PF,16,1,2.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0
10,TEAM TOTALS,,,44,94.0,6.0,14.0,13.0,15.0,44.0,26.0,26.0,6.0,14.0,5.0,107.0
11,PERCENTAGES,FG: 46.8%,3PT: 42.9%,FT: 86.7%,,,,,,,,,,,,
0,Dean Wade,SF,43,16,27.0,5.0,9.0,3.0,6.0,6.0,1.0,2.0,0.0,4.0,0.0,40.0
1,Larry Hughes,PG,34,7,18.0,0.0,1.0,2.0,2.0,6.0,6.0,3.0,2.0,4.0,1.0,16.0
2,Chris Washburn,C,36,4,6.0,0.0,0.0,6.0,8.0,14.0,1.0,4.0,0.0,1.0,1.0,14.0
3,Scootsie Doubleday,PF,31,5,14.0,1.0,3.0,2.0,2.0,7.0,1.0,6.0,2.0,1.0,0.0,13.0
4,Romeo Langford,SG,34,2,18.0,0.0,7.0,4.0,4.0,8.0,2.0,2.0,0.0,0.0,0.0,8.0
5,Melvin Turpin,PF,30,3,5.0,0.0,0.0,2.0,2.0,11.0,1.0,3.0,1.0,5.0,0.0,8.0
6,Scoonie Murray,PF,11,1,2.0,0.0,0.0,4.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0
7,Sean Bird,SG,13,2,5.0,0.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0
8,Thomas Wilder,PG,5,0,1.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0
9,Christopher Robin,C,3,0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
10,TEAM TOTALS,,,40,96.0,6.0,21.0,27.0,33.0,58.0,20.0,21.0,5.0,15.0,2.0,113.0
0,Isaac Bonga,SF,39,13,27.0,1.0,4.0,6.0,8.0,10.0,3.0,4.0,3.0,3.0,0.0,33.0
1,Roy Tarpley,PF,16,5,6.0,0.0,0.0,7.0,7.0,3.0,1.0,2.0,0.0,0.0,0.0,17.0
2,Andre Turner,PG,38,5,18.0,1.0,1.0,5.0,6.0,4.0,9.0,5.0,2.0,5.0,0.0,16.0
3,Dirk Nowitzki,PF,29,4,7.0,1.0,1.0,3.0,4.0,6.0,1.0,1.0,4.0,0.0,0.0,12.0
4,Jordan Howard,SG,28,3,8.0,0.0,0.0,6.0,7.0,1.0,0.0,4.0,0.0,2.0,0.0,12.0
5,Jason Lyle,SF,9,4,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,8.0
6,Kenyon Stone,C,26,2,3.0,0.0,0.0,1.0,2.0,6.0,2.0,5.0,0.0,1.0,1.0,5.0
7,Leon Wood*,SG,30,2,8.0,0.0,2.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,4.0
8,Devontae Cacok,C,26,1,4.0,0.0,0.0,1.0,2.0,12.0,0.0,2.0,0.0,2.0,1.0,3.0
9,TEAM TOTALS,,,39,85.0,3.0,8.0,29.0,36.0,49.0,20.0,26.0,10.0,14.0,2.0,110.0
10,PERCENTAGES,FG: 45.9%,3PT: 37.5%,FT: 80.6%,,,,,,,,,,,,
0,Tank Selvy,SG,36,16,27.0,3.0,6.0,5.0,6.0,9.0,9.0,2.0,2.0,1.0,0.0,40.0
1,Mountain Dew Camacho,C,36,10,17.0,0.0,0.0,3.0,3.0,9.0,3.0,2.0,1.0,2.0,1.0,23.0
2,Collin Sexton,PG,39,8,18.0,2.0,4.0,2.0,2.0,9.0,10.0,3.0,2.0,4.0,0.0,20.0
3,Chalky Studebaker,SF,25,6,9.0,1.0,1.0,2.0,2.0,6.0,2.0,2.0,0.0,2.0,0.0,15.0
4,Kostas Antetokounmpo,SF,31,4,10.0,0.0,0.0,3.0,3.0,7.0,2.0,1.0,0.0,1.0,2.0,11.0
5,Gregor Clegane,PF,28,3,5.0,0.0,0.0,1.0,1.0,8.0,2.0,3.0,1.0,2.0,0.0,7.0
6,Leonard Leslie,PF,7,3,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0
7,Landyn Freshwater,PG,9,2,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0
8,Jaylen Barford,SG,3,1,3.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0
9,DJ Rony,PF,25,1,3.0,0.0,0.0,0.0,0.0,13.0,2.0,1.0,0.0,0.0,5.0,2.0
10,TEAM TOTALS,,,54,103.0,6.0,13.0,18.0,20.0,64.0,31.0,15.0,7.0,12.0,8.0,132.0
0,Mikal Bridges,SF,33,9,14.0,0.0,0.0,4.0,4.0,5.0,3.0,2.0,0.0,1.0,0.0,22.0
1,Barry Obama,PG,33,7,23.0,2.0,7.0,4.0,4.0,6.0,12.0,3.0,2.0,2.0,0.0,20.0
2,George Mikan,C,22,7,17.0,0.0,0.0,3.0,3.0,7.0,0.0,2.0,1.0,2.0,0.0,17.0
3,Tevin Mack,SG,32,7,13.0,1.0,3.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,15.0
4,Graylin Warner,PF,30,3,8.0,0.0,0.0,3.0,4.0,8.0,0.0,1.0,0.0,2.0,0.0,9.0
5,Blake Mann,C,29,3,10.0,0.0,0.0,0.0,4.0,7.0,1.0,1.0,1.0,1.0,1.0,6.0
6,Prince Rogers Nelson,PG,15,2,5.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,4.0
7,Joel Berry,SF,23,1,3.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,1.0,1.0,2.0
8,Tyler Blevins,SG,8,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
9,Stephon Templeton,PF,14,0,4.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,2.0,1.0,1.0
10,TEAM TOTALS,,,40,98.0,3.0,10.0,15.0,21.0,49.0,22.0,13.0,6.0,13.0,3.0,98.0
11,PERCENTAGES,FG: 40.8%,3PT: 30.0%,FT: 71.4%,,,,,,,,,,,,
0,De'Anthony Melton,PG,37,12,22.0,1.0,3.0,7.0,8.0,8.0,9.0,0.0,1.0,4.0,0.0,32.0
1,Daniel Taurasi,SG,38,8,16.0,2.0,3.0,11.0,12.0,12.0,6.0,2.0,0.0,2.0,1.0,29.0
2,Michael Porter Jr,SF,35,8,19.0,1.0,5.0,7.0,8.0,9.0,1.0,2.0,0.0,3.0,0.0,24.0
3,Dan Cortezzee,PG,20,5,13.0,1.0,3.0,0.0,0.0,4.0,4.0,0.0,1.0,2.0,0.0,11.0
4,Keita Bates-Diop,SF,14,5,7.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0
5,Tai Odiase,C,28,2,2.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,3.0,3.0,5.0
6,Donta Hall,PF,19,1,4.0,0.0,0.0,2.0,2.0,5.0,2.0,2.0,1.0,1.0,0.0,4.0
7,Aiden Williamson,C,25,0,3.0,0.0,0.0,3.0,4.0,9.0,1.0,5.0,0.0,1.0,0.0,3.0
8,Cracker McCallahan,PF,24,1,7.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,3.0,1.0,2.0,2.0
9,TEAM TOTALS,,,42,93.0,5.0,15.0,31.0,36.0,61.0,24.0,16.0,6.0,17.0,6.0,120.0
0,Simisola Shittu,C,28,13,24.0,0.0,0.0,5.0,7.0,12.0,3.0,4.0,2.0,1.0,1.0,31.0
1,Aljami Durham,PG,34,10,20.0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,3.0,3.0,0.0,20.0
2,Charles Barkley*,PF,33,8,15.0,0.0,0.0,3.0,3.0,15.0,4.0,2.0,1.0,2.0,0.0,19.0
3,Jeff Hornacek*,SG,32,5,11.0,1.0,1.0,2.0,2.0,4.0,4.0,3.0,2.0,1.0,2.0,13.0
4,Timo Cruz,SF,25,6,14.0,1.0,6.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,13.0
5,Matt Farrell,PG,14,3,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,6.0
6,Rashard Lewis*,SF,26,2,3.0,1.0,1.0,0.0,0.0,4.0,3.0,2.0,1.0,0.0,0.0,5.0
7,Odin James,PF,20,1,7.0,0.0,0.0,2.0,6.0,7.0,3.0,1.0,2.0,2.0,0.0,4.0
8,Daniel Giddens,C,15,1,4.0,0.0,0.0,0.0,2.0,5.0,0.0,3.0,0.0,2.0,0.0,2.0
9,Terence Stansbury,SG,13,1,3.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0
10,TEAM TOTALS,,,50,106.0,3.0,14.0,12.0,20.0,55.0,22.0,19.0,12.0,14.0,3.0,115.0
11,PERCENTAGES,FG: 47.2%,3PT: 21.4%,FT: 60.0%,,,,,,,,,,,,
0,DeAndre Ayton,C,40,10,21.0,0.0,1.0,16.0,21.0,26.0,4.0,4.0,1.0,4.0,2.0,36.0
1,Champ Godbolt,PF,41,10,16.0,0.0,1.0,6.0,8.0,19.0,3.0,2.0,2.0,3.0,1.0,26.0
2,Tony Pierce,PG,34,6,15.0,2.0,6.0,4.0,4.0,7.0,10.0,1.0,1.0,0.0,0.0,18.0
3,Shavon Shields,SG,27,3,12.0,1.0,4.0,10.0,10.0,7.0,3.0,5.0,2.0,3.0,0.0,17.0
4,Devin Lonc,SG,27,5,15.0,0.0,3.0,0.0,0.0,8.0,3.0,1.0,1.0,2.0,0.0,10.0
5,Paul Pierce,SF,32,4,7.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,4.0,3.0,0.0,8.0
6,Tacko Fall,C,15,3,5.0,0.0,0.0,2.0,5.0,8.0,1.0,0.0,0.0,0.0,1.0,8.0
7,Ron Harper,SF,19,2,4.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,2.0,0.0,6.0
8,Jevon Carter,PG,5,1,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
9,TEAM TOTALS,,,44,97.0,3.0,15.0,40.0,51.0,80.0,27.0,16.0,11.0,17.0,4.0,131.0
0,Cecil Exum,PG,34,10,18.0,2.0,4.0,0.0,0.0,8.0,5.0,1.0,2.0,1.0,0.0,22.0
1,Vince Carter,SG,32,5,15.0,1.0,2.0,5.0,6.0,6.0,2.0,4.0,2.0,2.0,0.0,16.0
2,Shareef O'Neal,PF,24,6,9.0,0.0,0.0,2.0,2.0,4.0,1.0,6.0,2.0,2.0,1.0,14.0
3,RJ Barrett,SF,39,4,21.0,0.0,5.0,5.0,6.0,6.0,3.0,4.0,1.0,2.0,0.0,13.0
4,Sum Ting Wong,PF,26,3,7.0,0.0,0.0,4.0,4.0,6.0,0.0,1.0,1.0,1.0,1.0,10.0
5,Otis Thorpe,C,23,4,13.0,0.0,0.0,1.0,2.0,4.0,1.0,5.0,0.0,1.0,0.0,9.0
6,Brad Daugherty,C,21,2,7.0,0.0,0.0,2.0,4.0,3.0,0.0,5.0,0.0,0.0,1.0,6.0
7,Andy Phillip,SG,21,2,9.0,0.0,0.0,0.0,0.0,6.0,5.0,4.0,0.0,2.0,0.0,4.0
8,Lindell Wigginton,PG,9,1,3.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
9,Drazen Petrovic,SF,12,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0
10,TEAM TOTALS,,,38,103.0,4.0,13.0,19.0,24.0,44.0,18.0,31.0,9.0,12.0,3.0,99.0
11,PERCENTAGES,FG: 36.9%,3PT: 30.8%,FT: 79.2%,,,,,,,,,,,,
0,Max Zaslofsky,PG,41,13,23.0,3.0,4.0,3.0,3.0,6.0,8.0,5.0,1.0,3.0,0.0,32.0
1,Butch McRae,SG,22,9,15.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,18.0
2,Marvin Bagley III,C,24,5,9.0,0.0,0.0,4.0,6.0,6.0,2.0,3.0,0.0,0.0,0.0,14.0
3,John Petty,SG,26,6,8.0,1.0,1.0,0.0,0.0,7.0,5.0,1.0,1.0,0.0,0.0,13.0
4,Alex Reese,PF,24,4,10.0,0.0,1.0,5.0,7.0,7.0,1.0,2.0,0.0,1.0,0.0,13.0
5,Hakeem Olajuwon,C,24,4,9.0,0.0,0.0,3.0,4.0,7.0,1.0,4.0,1.0,0.0,3.0,11.0
6,Nicklaus Templeton,PG,7,4,7.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,9.0
7,Vladimir Stepania,PF,24,2,9.0,0.0,0.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,0.0,6.0
8,Walter Hardaway,SF,35,2,6.0,0.0,1.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,4.0
9,Kelan Martin,SF,13,2,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,4.0
10,TEAM TOTALS,,,51,99.0,5.0,10.0,17.0,22.0,52.0,26.0,18.0,5.0,6.0,4.0,124.0
0,Meadowlark Lemon,SG,39,8,18.0,2.0,2.0,5.0,7.0,7.0,8.0,2.0,0.0,0.0,0.0,23.0
1,Sekou Doumbouya,SF,35,7,20.0,0.0,0.0,4.0,4.0,9.0,1.0,0.0,0.0,4.0,1.0,18.0
2,Tobi Oyedeji,C,30,8,12.0,0.0,0.0,0.0,0.0,8.0,1.0,3.0,0.0,1.0,0.0,16.0
3,Scotty Poodles,C,26,5,7.0,0.0,0.0,6.0,7.0,7.0,1.0,2.0,1.0,2.0,0.0,16.0
4,Wendell Carter Jr.,PF,36,3,10.0,0.0,1.0,4.0,4.0,8.0,0.0,4.0,1.0,2.0,0.0,10.0
5,Brian Beard Jr,PG,30,1,6.0,1.0,1.0,3.0,4.0,6.0,3.0,0.0,1.0,2.0,1.0,6.0
6,Juan Keaney,SF,13,3,9.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,6.0
7,Ryan Bowen,PG,5,2,3.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0
8,Ricky Davis,PG,18,2,5.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,4.0
9,Mark Price,SG,9,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
10,TEAM TOTALS,,,39,90.0,3.0,4.0,23.0,28.0,53.0,21.0,13.0,3.0,12.0,4.0,104.0
11,PERCENTAGES,FG: 43.3%,3PT: 75.0%,FT: 82.1%,,,,,,,,,,,,
0,Daniel Taurasi,SG,42,13,27.0,3.0,8.0,2.0,2.0,8.0,3.0,1.0,2.0,1.0,0.0,31.0
1,Dan Cortezzee,PG,18,7,9.0,0.0,0.0,5.0,6.0,2.0,4.0,1.0,0.0,0.0,0.0,19.0
2,De'Anthony Melton,PG,35,7,15.0,1.0,5.0,2.0,2.0,10.0,7.0,2.0,3.0,10.0,0.0,17.0
3,Michael Porter Jr,SF,31,6,17.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,0.0,14.0
