,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
4,Juan Keaney,SF,28,5,7.0,0.0,0.0,3.0,5.0,6.0,1.0,2.0,2.0,1.0,0.0,13.0
5,Wendell Carter Jr.,PF,34,5,11.0,0.0,0.0,2.0,2.0,12.0,3.0,5.0,0.0,3.0,0.0,12.0
6,Tobi Oyedeji,C,25,5,10.0,0.0,0.0,1.0,1.0,6.0,3.0,0.0,0.0,2.0,0.0,11.0
7,Ricky Davis,PG,7,3,4.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0
8,Ryan Bowen,PG,6,1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0
9,Darrian Ringo,SG,6,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0
10,TEAM TOTALS,,,45,81.0,4.0,6.0,25.0,31.0,52.0,27.0,16.0,12.0,13.0,1.0,119.0
0,Jeffrey Fuller,SG,32,7,13.0,2.0,3.0,2.0,3.0,1.0,0.0,2.0,1.0,3.0,0.0,18.0
1,Borat Sagdiyev,SF,24,6,11.0,1.0,2.0,0.0,0.0,2.0,1.0,3.0,2.0,3.0,0.0,13.0
2,Edgar Jones,SF,24,4,5.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,10.0
3,Carl Braun,SG,16,4,7.0,1.0,1.0,1.0,2.0,5.0,3.0,1.0,0.0,1.0,1.0,10.0
4,Neetnum Nagdorus,PG,19,4,8.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,1.0,8.0
5,Ian Johnson,PF,32,1,9.0,0.0,0.0,5.0,8.0,7.0,2.0,3.0,1.0,1.0,1.0,7.0
6,Tim McCormick,C,21,1,6.0,0.0,0.0,5.0,6.0,7.0,1.0,4.0,0.0,1.0,0.0,7.0
7,Sim Dump,PG,29,3,9.0,0.0,1.0,0.0,0.0,2.0,6.0,1.0,0.0,1.0,0.0,6.0
8,Sagaba Konate,C,31,2,8.0,0.0,0.0,1.0,3.0,7.0,2.0,3.0,0.0,3.0,1.0,5.0
9,Halawi Winabi,PF,12,2,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
10,Peyton Gragg,SF,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,TEAM TOTALS,,,34,80.0,5.0,8.0,15.0,23.0,38.0,17.0,18.0,7.0,17.0,4.0,88.0
12,PERCENTAGES,FG: 42.5%,3PT: 62.5%,FT: 65.2%,,,,,,,,,,,,
0,Cameron Parker,PF,34,13,20.0,1.0,1.0,6.0,6.0,15.0,2.0,0.0,0.0,5.0,0.0,33.0
1,Riley Steele,SF,30,8,13.0,2.0,3.0,0.0,3.0,10.0,2.0,0.0,0.0,1.0,0.0,18.0
2,Udoka Azubuike,C,37,6,9.0,0.0,0.0,5.0,11.0,9.0,2.0,3.0,1.0,2.0,1.0,17.0
3,Nick King,SF,21,5,10.0,0.0,0.0,3.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,13.0
4,Gerald Martin Johanssen,SG,39,2,8.0,0.0,2.0,8.0,8.0,7.0,3.0,3.0,2.0,1.0,3.0,12.0
5,Quade Green,PG,23,3,10.0,0.0,1.0,5.0,5.0,3.0,5.0,0.0,1.0,2.0,0.0,11.0
6,Jon Elmore,PG,25,1,5.0,0.0,2.0,1.0,2.0,2.0,6.0,2.0,1.0,1.0,0.0,3.0
7,Clifford Smith,PF,14,1,1.0,0.0,0.0,1.0,1.0,8.0,1.0,0.0,0.0,1.0,0.0,3.0
8,Brandon Griner,C,11,0,1.0,0.0,0.0,3.0,6.0,4.0,1.0,2.0,0.0,0.0,1.0,3.0
9,Jesse Epstein,SG,6,0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
10,TEAM TOTALS,,,39,79.0,3.0,11.0,32.0,46.0,61.0,24.0,11.0,5.0,13.0,6.0,113.0
0,Michael Jordan,SG,32,8,17.0,0.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,0.0,17.0
1,Kenny George,C,26,7,16.0,0.0,0.0,3.0,4.0,7.0,1.0,4.0,0.0,0.0,1.0,17.0
2,Grayson Allen,SG,16,6,10.0,4.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,16.0
3,Luka Doncic,SF,37,7,21.0,0.0,4.0,0.0,0.0,9.0,5.0,2.0,2.0,0.0,0.0,14.0
4,Cedric Henderson*,PF,20,3,6.0,0.0,0.0,2.0,2.0,8.0,0.0,4.0,1.0,0.0,0.0,8.0
5,Chris Chiozza,PG,29,3,9.0,1.0,3.0,0.0,0.0,3.0,8.0,2.0,2.0,3.0,0.0,7.0
6,Tyler Davis,PF,24,3,6.0,0.0,0.0,1.0,2.0,5.0,2.0,5.0,1.0,1.0,1.0,7.0
7,Rafer Alston,PG,19,2,8.0,0.0,1.0,1.0,2.0,3.0,3.0,5.0,0.0,1.0,0.0,5.0
8,Paul Wight,C,20,1,7.0,0.0,0.0,0.0,0.0,6.0,2.0,5.0,1.0,1.0,0.0,2.0
9,McKinley Singleton,SF,17,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
10,TEAM TOTALS,,,40,101.0,5.0,16.0,8.0,11.0,48.0,23.0,30.0,8.0,9.0,2.0,93.0
11,PERCENTAGES,FG: 39.6%,3PT: 31.3%,FT: 72.7%,,,,,,,,,,,,
0,Cuttino Mobley,SG,33,18,30.0,0.0,0.0,5.0,5.0,6.0,1.0,1.0,3.0,2.0,0.0,41.0
1,Nick Richards,C,22,10,16.0,0.0,0.0,5.0,8.0,8.0,0.0,1.0,1.0,0.0,0.0,25.0
2,RJ Cole,PG,34,5,18.0,0.0,4.0,2.0,4.0,5.0,10.0,1.0,1.0,1.0,1.0,12.0
3,Vincent Edwards,SF,19,2,5.0,0.0,0.0,5.0,6.0,7.0,2.0,3.0,0.0,1.0,2.0,9.0
4,Andrew Betts,C,26,4,9.0,0.0,0.0,0.0,1.0,7.0,1.0,0.0,1.0,1.0,0.0,8.0
5,Lagerald Vick,SG,15,3,4.0,0.0,0.0,2.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,8.0
6,Kobe Maggette,PF,27,2,5.0,0.0,0.0,2.0,2.0,12.0,5.0,3.0,0.0,0.0,0.0,6.0
7,Dickie Beal,PG,14,2,5.0,0.0,1.0,1.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,5.0
8,Dick Mumma*,SF,29,1,3.0,0.0,1.0,0.0,0.0,6.0,1.0,6.0,0.0,1.0,0.0,2.0
9,Kevin Nash,PF,21,0,2.0,0.0,0.0,2.0,2.0,7.0,0.0,3.0,0.0,0.0,2.0,2.0
10,TEAM TOTALS,,,47,97.0,0.0,6.0,24.0,32.0,61.0,28.0,22.0,7.0,6.0,5.0,118.0
0,Trendon Watford,PF,20,8,13.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,0.0,1.0,0.0,21.0
1,Len Bias,SF,32,5,18.0,1.0,3.0,7.0,9.0,5.0,1.0,3.0,0.0,1.0,0.0,18.0
2,Laurence Jackson,PF,34,4,10.0,1.0,1.0,8.0,10.0,7.0,0.0,3.0,0.0,1.0,0.0,17.0
3,Earl Boykins,PG,31,5,12.0,1.0,5.0,3.0,4.0,2.0,5.0,0.0,2.0,3.0,0.0,14.0
4,Kenny Walker,SG,33,3,8.0,0.0,1.0,2.0,3.0,5.0,3.0,4.0,0.0,2.0,0.0,8.0
5,Michael Olowokandi,C,27,2,3.0,0.0,0.0,0.0,1.0,9.0,0.0,2.0,0.0,3.0,1.0,4.0
6,Jimmy Graham,SF,9,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0
7,Keon Clark,C,21,1,5.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,1.0,0.0,2.0
8,Michael Jackson,PG,17,0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,2.0,0.0,0.0
9,Michael Dickerson,SG,15,0,3.0,0.0,1.0,0.0,0.0,6.0,0.0,2.0,0.0,2.0,0.0,0.0
10,TEAM TOTALS,,,30,76.0,5.0,13.0,23.0,30.0,42.0,16.0,22.0,4.0,17.0,1.0,88.0
11,PERCENTAGES,FG: 39.5%,3PT: 38.5%,FT: 76.7%,,,,,,,,,,,,
0,Isaac Bonga,SF,39,14,25.0,5.0,8.0,5.0,6.0,9.0,10.0,2.0,2.0,2.0,1.0,38.0
1,Dirk Nowitzki,PF,25,11,18.0,1.0,2.0,3.0,3.0,12.0,1.0,1.0,2.0,2.0,0.0,26.0
2,Andre Turner,PG,35,8,17.0,1.0,5.0,8.0,8.0,5.0,14.0,1.0,2.0,2.0,0.0,25.0
3,Roy Devyn White,SG,24,3,7.0,0.0,1.0,5.0,5.0,1.0,6.0,0.0,1.0,0.0,0.0,11.0
4,Roy Tarpley,PF,11,5,8.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,11.0
5,Leon Wood*,PG,9,2,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
6,Devontae Cacok,C,31,2,4.0,0.0,0.0,0.0,0.0,13.0,1.0,3.0,2.0,1.0,1.0,4.0
7,Kenyon Stone,C,27,2,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0
8,Jason Lyle,SF,9,2,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,4.0
9,Jordan Howard,SG,28,1,5.0,0.0,1.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,2.0
10,Giuseppe Longfellow,C,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,TEAM TOTALS,,,50,93.0,8.0,18.0,22.0,23.0,55.0,36.0,10.0,9.0,9.0,2.0,130.0
0,DJ Hogg,SF,43,11,25.0,3.0,7.0,4.0,5.0,7.0,7.0,4.0,0.0,3.0,0.0,29.0
1,Jontay Porter,PF,35,7,19.0,0.0,0.0,5.0,6.0,10.0,1.0,2.0,0.0,2.0,0.0,19.0
2,Steve Mitchell,PG,37,6,15.0,0.0,3.0,0.0,0.0,4.0,8.0,2.0,0.0,3.0,0.0,12.0
3,Chimp Godbolt,SG,30,4,11.0,0.0,0.0,2.0,2.0,4.0,1.0,4.0,2.0,0.0,1.0,10.0
4,Raef LaFrentz,C,27,4,13.0,0.0,0.0,1.0,1.0,9.0,1.0,0.0,0.0,2.0,0.0,9.0
5,Brian Bowen,PF,18,2,6.0,0.0,0.0,2.0,2.0,5.0,1.0,2.0,0.0,2.0,0.0,6.0
6,Ronald Savage,SG,22,2,5.0,0.0,1.0,0.0,0.0,7.0,1.0,1.0,1.0,1.0,0.0,4.0
7,Radoslav Nesterovic,C,21,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
8,TEAM TOTALS,,,36,94.0,3.0,11.0,14.0,16.0,48.0,20.0,16.0,3.0,13.0,2.0,89.0
9,PERCENTAGES,FG: 38.3%,3PT: 27.3%,FT: 87.5%,,,,,,,,,,,,
0,Mustapha Heron,SG,38,18,31.0,3.0,7.0,2.0,2.0,9.0,2.0,2.0,5.0,4.0,0.0,41.0
1,Chuck Person,SF,32,12,29.0,1.0,4.0,2.0,3.0,8.0,2.0,2.0,1.0,4.0,0.0,27.0
2,Yante Maten*,C,32,9,19.0,1.0,1.0,5.0,6.0,15.0,5.0,4.0,0.0,1.0,1.0,24.0
3,Sam Bowie,PF,26,3,10.0,0.0,0.0,3.0,4.0,7.0,2.0,0.0,1.0,1.0,0.0,9.0
4,Hassani Gravett,PG,37,2,7.0,0.0,0.0,2.0,2.0,5.0,10.0,1.0,2.0,2.0,0.0,6.0
5,Jarred Vanderbilt,PF,30,2,3.0,0.0,0.0,2.0,2.0,16.0,1.0,1.0,0.0,1.0,1.0,6.0
6,Bol Bol,C,9,2,2.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0
7,Theo Pinson,SF,20,2,6.0,0.0,2.0,0.0,0.0,5.0,2.0,1.0,2.0,2.0,0.0,4.0
8,Bryce Drew,PG,11,2,2.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,0.0,4.0
9,Jan Michael Vincent,SG,6,0,3.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0
10,TEAM TOTALS,,,52,112.0,6.0,16.0,16.0,19.0,73.0,29.0,13.0,13.0,15.0,2.0,126.0
0,Scootsie Doubleday,C,40,11,21.0,2.0,4.0,4.0,5.0,5.0,2.0,3.0,2.0,2.0,0.0,28.0
1,Romeo Langford,SG,35,9,25.0,2.0,9.0,4.0,4.0,5.0,5.0,0.0,2.0,3.0,0.0,24.0
2,Larry Hughes,PG,35,9,17.0,0.0,1.0,2.0,4.0,6.0,9.0,2.0,0.0,2.0,0.0,20.0
3,Dean Wade,SF,41,3,9.0,0.0,3.0,4.0,4.0,11.0,4.0,2.0,0.0,5.0,0.0,10.0
4,Chris Washburn,C,24,2,7.0,0.0,0.0,2.0,2.0,11.0,0.0,3.0,0.0,3.0,2.0,6.0
5,Melvin Turpin,PF,34,1,3.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,3.0,2.0,0.0,2.0
6,Thomas Wilder,PG,3,1,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
7,Scoonie Murray,C,20,0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0
